Map,WinGame,WinPistol,AgentsTeam1,AgentsTeam2
Haven,TeamA,TeamB,"['Fade', 'Cypher', 'Jett', 'Omen', 'Phoenix']","['Fade', 'Astra', 'Jett', 'Cypher', 'Reyna']"
Ascent,TeamA,TeamB,"['Astra', 'Phoenix', 'Cypher', 'Sova', 'Kayo']","['Reyna', 'Jett', 'Omen', 'Fade', 'Killjoy']"
Pearl,TeamB,TeamB,"['Sova', 'Reyna', 'Sage', 'Cypher', 'Astra']","['Astra', 'Reyna', 'Jett', 'Cypher', 'Fade']"
Pearl,TeamB,TeamB,"['Astra', 'Jett', 'Killjoy', 'Phoenix', 'Fade']","['Chamber', 'Jett', 'Astra', 'Raze', 'Kayo']"
Breeze,TeamA,TeamB,"['Sova', 'Viper', 'Kayo', 'Cypher', 'Jett']","['Sova', 'Viper', 'Jett', 'Cypher', 'Skye']"
Haven,TeamA,TeamB,"['Omen', 'Reyna', 'Fade', 'Cypher', 'Jett']","['Jett', 'Sova', 'Omen', 'Breach', 'Killjoy']"
Fracture,TeamB,TeamB,"['Raze', 'Cypher', 'Fade', 'Brimstone', 'Jett']","['Jett', 'Reyna', 'Raze', 'Phoenix', 'Killjoy']"
Breeze,TeamB,TeamB,"['Jett', 'Sova', 'Cypher', 'Viper', 'Kayo']","['Reyna', 'Jett', 'Viper', 'Cypher', 'Sova']"
Pearl,TeamB,TeamB,"['Jett', 'Cypher', 'Sova', 'Astra', 'Kayo']","['Fade', 'Cypher', 'Astra', 'Jett', 'Raze']"
Icebox,TeamA,TeamB,"['Sage', 'Kayo', 'Viper', 'Sova', 'Killjoy']","['Jett', 'Reyna', 'Viper', 'Sage', 'Sova']"
Icebox,TeamA,TeamB,"['Reyna', 'Jett', 'Sova', 'Viper', 'Killjoy']","['Jett', 'Killjoy', 'Viper', 'Sage', 'Sova']"
Breeze,TeamA,TeamB,"['Jett', 'Viper', 'Sova', 'Cypher', 'Reyna']","['Sova', 'Reyna', 'Jett', 'Kayo', 'Viper']"
Fracture,TeamA,TeamB,"['Breach', 'Fade', 'Cypher', 'Brimstone', 'Jett']","['Killjoy', 'Fade', 'Neon', 'Sage', 'Brimstone']"
Fracture,TeamA,TeamB,"['Reyna', 'Raze', 'Killjoy', 'Breach', 'Brimstone']","['Raze', 'Kayo', 'Brimstone', 'Breach', 'Cypher']"
Bind,TeamA,TeamB,"['Sova', 'Raze', 'Chamber', 'Brimstone', 'Yoru']","['Skye', 'Sova', 'Brimstone', 'Raze', 'Cypher']"
Haven,TeamA,TeamB,"['Reyna', 'Jett', 'Omen', 'Killjoy', 'Fade']","['Jett', 'Cypher', 'Sova', 'Sage', 'Omen']"
Ascent,TeamB,TeamB,"['Sova', 'Omen', 'Yoru', 'Kayo', 'Jett']","['Sage', 'Astra', 'Reyna', 'Sova', 'Kayo']"
Bind,TeamA,TeamB,"['Skye', 'Sova', 'Brimstone', 'Raze', 'Fade']","['Phoenix', 'Killjoy', 'Raze', 'Fade', 'Brimstone']"
Haven,TeamB,TeamB,"['Jett', 'Killjoy', 'Omen', 'Fade', 'Breach']","['Sova', 'Fade', 'Omen', 'Jett', 'Killjoy']"
Breeze,TeamB,TeamB,"['Cypher', 'Kayo', 'Jett', 'Sova', 'Viper']","['Sova', 'Viper', 'Jett', 'Reyna', 'Cypher']"
Fracture,TeamB,TeamB,"['Raze', 'Omen', 'Cypher', 'Kayo', 'Breach']","['Killjoy', 'Sage', 'Neon', 'Breach', 'Brimstone']"
Pearl,TeamB,TeamB,"['Skye', 'Reyna', 'Raze', 'Killjoy', 'Astra']","['Phoenix', 'Jett', 'Fade', 'Astra', 'Cypher']"
Bind,TeamA,TeamB,"['Raze', 'Astra', 'Cypher', 'Reyna', 'Fade']","['Reyna', 'Killjoy', 'Sage', 'Sova', 'Brimstone']"
Haven,TeamB,TeamB,"['Raze', 'Killjoy', 'Jett', 'Astra', 'Fade']","['Breach', 'Jett', 'Astra', 'Killjoy', 'Sova']"
Icebox,TeamB,TeamB,"['Killjoy', 'Sage', 'Viper', 'Reyna', 'Sova']","['Kayo', 'Killjoy', 'Jett', 'Sova', 'Viper']"
Fracture,TeamA,TeamB,"['Astra', 'Jett', 'Fade', 'Killjoy', 'Chamber']","['Raze', 'Cypher', 'Neon', 'Reyna', 'Jett']"
Pearl,TeamB,TeamB,"['Killjoy', 'Astra', 'Jett', 'Reyna', 'Fade']","['Fade', 'Killjoy', 'Kayo', 'Astra', 'Raze']"
Icebox,TeamB,TeamB,"['Jett', 'Viper', 'Sage', 'Reyna', 'Sova']","['Viper', 'Killjoy', 'Reyna', 'Jett', 'Sova']"
Ascent,TeamA,TeamB,"['Jett', 'Killjoy', 'Kayo', 'Omen', 'Sova']","['Kayo', 'Omen', 'Sova', 'Jett', 'Cypher']"
Bind,TeamA,TeamB,"['Jett', 'Cypher', 'Raze', 'Omen', 'Sova']","['Raze', 'Brimstone', 'Sova', 'Cypher', 'Skye']"
Fracture,TeamA,TeamB,"['Raze', 'Breach', 'Sage', 'Killjoy', 'Brimstone']","['Breach', 'Killjoy', 'Raze', 'Fade', 'Omen']"
Ascent,TeamA,TeamB,"['Killjoy', 'Jett', 'Reyna', 'Omen', 'Sova']","['Jett', 'Kayo', 'Fade', 'Astra', 'Killjoy']"
Bind,TeamA,TeamB,"['Fade', 'Astra', 'Killjoy', 'Raze', 'Reyna']","['Neon', 'Phoenix', 'Viper', 'Cypher', 'Fade']"
Haven,TeamB,TeamB,"['Omen', 'Neon', 'Fade', 'Breach', 'Cypher']","['Jett', 'Breach', 'Killjoy', 'Omen', 'Fade']"
Breeze,TeamA,TeamB,"['Jett', 'Reyna', 'Skye', 'Viper', 'Cypher']","['Cypher', 'Sova', 'Jett', 'Kayo', 'Viper']"
Fracture,TeamA,TeamB,"['Reyna', 'Phoenix', 'Neon', 'Yoru', 'Brimstone']","['Raze', 'Brimstone', 'Breach', 'Fade', 'Kayo']"
Haven,TeamA,TeamB,"['Phoenix', 'Jett', 'Astra', 'Killjoy', 'Sova']","['Jett', 'Chamber', 'Sova', 'Raze', 'Killjoy']"
Bind,TeamA,TeamB,"['Sova', 'Jett', 'Chamber', 'Fade', 'Brimstone']","['Reyna', 'Killjoy', 'Raze', 'Brimstone', 'Fade']"
Haven,TeamA,TeamB,"['Jett', 'Killjoy', 'Fade', 'Omen', 'Sova']","['Sage', 'Omen', 'Jett', 'Cypher', 'Sova']"
Breeze,TeamA,TeamB,"['Jett', 'Cypher', 'Reyna', 'Viper', 'Sova']","['Kayo', 'Reyna', 'Neon', 'Cypher', 'Sova']"
Bind,TeamB,TeamB,"['Jett', 'Sova', 'Brimstone', 'Sage', 'Raze']","['Raze', 'Chamber', 'Omen', 'Fade', 'Sage']"
Fracture,TeamA,TeamB,"['Jett', 'Chamber', 'Reyna', 'Fade', 'Brimstone']","['Raze', 'Brimstone', 'Killjoy', 'Breach', 'Sage']"
Ascent,TeamB,TeamB,"['Sage', 'Omen', 'Sova', 'Jett', 'Killjoy']","['Jett', 'Killjoy', 'Reyna', 'Astra', 'Sova']"
Bind,TeamB,TeamB,"['Sage', 'Sova', 'Raze', 'Omen', 'Killjoy']","['Sova', 'Astra', 'Raze', 'Skye', 'Cypher']"
Fracture,TeamB,TeamB,"['Raze', 'Reyna', 'Brimstone', 'Killjoy', 'Breach']","['Killjoy', 'Reyna', 'Raze', 'Kayo', 'Harbor']"
Pearl,TeamB,TeamB,"['Harbor', 'Jett', 'Killjoy', 'Sova', 'Reyna']","['Raze', 'Sova', 'Killjoy', 'Viper', 'Astra']"
Ascent,TeamB,TeamB,"['Killjoy', 'Sova', 'Breach', 'Omen', 'Jett']","['Raze', 'Sova', 'Kayo', 'Killjoy', 'Astra']"
Breeze,TeamA,TeamB,"['Jett', 'Viper', 'Sova', 'Reyna', 'Kayo']","['Sova', 'Jett', 'Viper', 'Cypher', 'Reyna']"
Bind,TeamA,TeamB,"['Chamber', 'Skye', 'Raze', 'Brimstone', 'Sova']","['Astra', 'Fade', 'Skye', 'Raze', 'Sage']"
Fracture,TeamA,TeamB,"['Brimstone', 'Jett', 'Chamber', 'Breach', 'Kayo']","['Breach', 'Jett', 'Viper', 'Astra', 'Kayo']"
Fracture,TeamB,TeamB,"['Jett', 'Breach', 'Astra', 'Sage', 'Cypher']","['Brimstone', 'Raze', 'Chamber', 'Fade', 'Kayo']"
Icebox,TeamB,TeamB,"['Sova', 'Killjoy', 'Viper', 'Jett', 'Sage']","['Viper', 'Jett', 'Killjoy', 'Kayo', 'Sova']"
Ascent,TeamB,TeamB,"['Omen', 'Kayo', 'Killjoy', 'Jett', 'Sova']","['Jett', 'Kayo', 'Sova', 'Killjoy', 'Omen']"
Icebox,TeamA,TeamB,"['Jett', 'Viper', 'Reyna', 'Sova', 'Killjoy']","['Chamber', 'Sova', 'Viper', 'Sage', 'Reyna']"
Haven,TeamA,TeamB,"['Jett', 'Omen', 'Sova', 'Killjoy', 'Astra']","['Jett', 'Breach', 'Omen', 'Sova', 'Killjoy']"
Pearl,TeamA,TeamB,"['Sage', 'Killjoy', 'Raze', 'Fade', 'Viper']","['Reyna', 'Jett', 'Cypher', 'Viper', 'Fade']"
Icebox,TeamB,TeamB,"['Sova', 'Killjoy', 'Jett', 'Reyna', 'Viper']","['Jett', 'Sage', 'Viper', 'Killjoy', 'Sova']"
Bind,TeamB,TeamB,"['Raze', 'Brimstone', 'Cypher', 'Skye', 'Reyna']","['Skye', 'Killjoy', 'Astra', 'Raze', 'Sage']"
Fracture,TeamA,TeamB,"['Brimstone', 'Breach', 'Jett', 'Killjoy', 'Reyna']","['Breach', 'Jett', 'Raze', 'Yoru', 'Killjoy']"
Breeze,TeamB,TeamB,"['Kayo', 'Jett', 'Cypher', 'Viper', 'Sova']","['Sova', 'Reyna', 'Viper', 'Jett', 'Cypher']"
Haven,TeamA,TeamB,"['Yoru', 'Reyna', 'Sage', 'Sova', 'Brimstone']","['Jett', 'Kayo', 'Sova', 'Killjoy', 'Omen']"
Ascent,TeamB,TeamB,"['Jett', 'Fade', 'Raze', 'Killjoy', 'Omen']","['Jett', 'Killjoy', 'Astra', 'Sova', 'Kayo']"
Haven,TeamA,TeamB,"['Omen', 'Phoenix', 'Killjoy', 'Breach', 'Sova']","['Reyna', 'Killjoy', 'Sova', 'Omen', 'Jett']"
Breeze,TeamA,TeamB,"['Kayo', 'Viper', 'Cypher', 'Jett', 'Sova']","['Sova', 'Cypher', 'Jett', 'Viper', 'Kayo']"
Bind,TeamA,TeamB,"['Skye', 'Sova', 'Cypher', 'Raze', 'Brimstone']","['Raze', 'Brimstone', 'Fade', 'Cypher', 'Jett']"
Fracture,TeamB,TeamB,"['Brimstone', 'Raze', 'Jett', 'Breach', 'Killjoy']","['Breach', 'Kayo', 'Raze', 'Killjoy', 'Brimstone']"
Haven,TeamA,TeamB,"['Killjoy', 'Phoenix', 'Jett', 'Sova', 'Omen']","['Chamber', 'Jett', 'Kayo', 'Astra', 'Fade']"
Breeze,TeamB,TeamB,"['Viper', 'Sova', 'Reyna', 'Kayo', 'Jett']","['Jett', 'Cypher', 'Viper', 'Sova', 'Kayo']"
Pearl,TeamA,TeamB,"['Raze', 'Killjoy', 'Fade', 'Astra', 'Kayo']","['Astra', 'Jett', 'Skye', 'Fade', 'Neon']"
Pearl,TeamA,TeamB,"['Skye', 'Jett', 'Reyna', 'Viper', 'Fade']","['Astra', 'Killjoy', 'Fade', 'Reyna', 'Jett']"
Breeze,TeamA,TeamB,"['Cypher', 'Reyna', 'Sova', 'Jett', 'Viper']","['Chamber', 'Viper', 'Kayo', 'Jett', 'Sova']"
Haven,TeamB,TeamB,"['Sova', 'Killjoy', 'Omen', 'Reyna', 'Sage']","['Raze', 'Omen', 'Sova', 'Breach', 'Killjoy']"
Ascent,TeamB,TeamB,"['Cypher', 'Reyna', 'Fade', 'Jett', 'Omen']","['Killjoy', 'Sova', 'Kayo', 'Jett', 'Omen']"
Icebox,TeamA,TeamB,"['Raze', 'Jett', 'Reyna', 'Killjoy', 'Viper']","['Reyna', 'Jett', 'Viper', 'Killjoy', 'Sova']"
Fracture,TeamA,TeamB,"['Fade', 'Jett', 'Killjoy', 'Astra', 'Sage']","['Fade', 'Cypher', 'Reyna', 'Neon', 'Brimstone']"
Breeze,TeamB,TeamB,"['Kayo', 'Sova', 'Jett', 'Yoru', 'Viper']","['Cypher', 'Viper', 'Kayo', 'Jett', 'Sova']"
Bind,TeamB,TeamB,"['Brimstone', 'Fade', 'Chamber', 'Raze', 'Viper']","['Sova', 'Reyna', 'Jett', 'Brimstone', 'Viper']"
Haven,TeamA,TeamB,"['Jett', 'Phoenix', 'Cypher', 'Sova', 'Omen']","['Raze', 'Sova', 'Breach', 'Killjoy', 'Omen']"
Haven,TeamA,TeamB,"['Omen', 'Cypher', 'Jett', 'Phoenix', 'Fade']","['Raze', 'Reyna', 'Cypher', 'Omen', 'Fade']"
Icebox,TeamB,TeamB,"['Jett', 'Viper', 'Killjoy', 'Sage', 'Sova']","['Sova', 'Chamber', 'Reyna', 'Sage', 'Viper']"
Breeze,TeamA,TeamB,"['Sova', 'Jett', 'Viper', 'Breach', 'Cypher']","['Viper', 'Cypher', 'Sova', 'Jett', 'Kayo']"
Icebox,TeamA,TeamB,"['Sova', 'Jett', 'Killjoy', 'Sage', 'Viper']","['Reyna', 'Jett', 'Killjoy', 'Sova', 'Viper']"
Pearl,TeamA,TeamB,"['Cypher', 'Astra', 'Phoenix', 'Reyna', 'Fade']","['Astra', 'Jett', 'Phoenix', 'Fade', 'Killjoy']"
Ascent,TeamA,TeamB,"['Kayo', 'Sova', 'Jett', 'Killjoy', 'Omen']","['Omen', 'Phoenix', 'Jett', 'Sova', 'Reyna']"
Haven,TeamB,TeamB,"['Jett', 'Killjoy', 'Phoenix', 'Omen', 'Sova']","['Fade', 'Breach', 'Cypher', 'Raze', 'Omen']"
Icebox,TeamA,TeamB,"['Sova', 'Sage', 'Jett', 'Killjoy', 'Viper']","['Sage', 'Killjoy', 'Jett', 'Viper', 'Sova']"
Fracture,TeamB,TeamB,"['Kayo', 'Jett', 'Breach', 'Cypher', 'Brimstone']","['Sage', 'Reyna', 'Raze', 'Cypher', 'Brimstone']"
Ascent,TeamA,TeamB,"['Omen', 'Reyna', 'Chamber', 'Fade', 'Jett']","['Killjoy', 'Jett', 'Kayo', 'Omen', 'Sova']"
Pearl,TeamB,TeamB,"['Jett', 'Neon', 'Killjoy', 'Fade', 'Brimstone']","['Phoenix', 'Reyna', 'Astra', 'Cypher', 'Fade']"
Bind,TeamB,TeamB,"['Breach', 'Cypher', 'Fade', 'Yoru', 'Brimstone']","['Raze', 'Skye', 'Viper', 'Brimstone', 'Sage']"
Haven,TeamA,TeamB,"['Raze', 'Fade', 'Sage', 'Cypher', 'Astra']","['Jett', 'Omen', 'Sova', 'Sage', 'Killjoy']"
Breeze,TeamA,TeamB,"['Sova', 'Cypher', 'Kayo', 'Jett', 'Viper']","['Reyna', 'Cypher', 'Sova', 'Viper', 'Jett']"
Fracture,TeamA,TeamB,"['Cypher', 'Jett', 'Kayo', 'Brimstone', 'Breach']","['Raze', 'Sage', 'Killjoy', 'Astra', 'Breach']"
Haven,TeamA,TeamB,"['Astra', 'Raze', 'Reyna', 'Sova', 'Fade']","['Raze', 'Killjoy', 'Jett', 'Omen', 'Fade']"
Haven,TeamA,TeamB,"['Raze', 'Phoenix', 'Skye', 'Reyna', 'Jett']","['Viper', 'Astra', 'Cypher', 'Jett', 'Fade']"
Fracture,TeamA,TeamB,"['Cypher', 'Raze', 'Astra', 'Breach', 'Reyna']","['Astra', 'Chamber', 'Cypher', 'Killjoy', 'Jett']"
Breeze,TeamA,TeamB,"['Cypher', 'Viper', 'Jett', 'Sova', 'Reyna']","['Viper', 'Sova', 'Reyna', 'Jett', 'Cypher']"
Bind,TeamA,TeamB,"['Brimstone', 'Killjoy', 'Jett', 'Skye', 'Fade']","['Brimstone', 'Skye', 'Fade', 'Cypher', 'Raze']"
Breeze,TeamA,TeamB,"['Skye', 'Reyna', 'Cypher', 'Jett', 'Viper']","['Viper', 'Kayo', 'Jett', 'Cypher', 'Sova']"
Fracture,TeamA,TeamB,"['Breach', 'Sage', 'Neon', 'Brimstone', 'Killjoy']","['Killjoy', 'Brimstone', 'Sage', 'Raze', 'Breach']"
Pearl,TeamB,TeamB,"['Viper', 'Jett', 'Fade', 'Killjoy', 'Phoenix']","['Yoru', 'Astra', 'Jett', 'Killjoy', 'Fade']"
Ascent,TeamA,TeamB,"['Omen', 'Sova', 'Jett', 'Cypher', 'Raze']","['Yoru', 'Killjoy', 'Fade', 'Omen', 'Jett']"
Ascent,TeamA,TeamB,"['Killjoy', 'Kayo', 'Jett', 'Sova', 'Omen']","['Reyna', 'Jett', 'Kayo', 'Sova', 'Cypher']"
Bind,TeamA,TeamB,"['Astra', 'Raze', 'Reyna', 'Jett', 'Chamber']","['Raze', 'Sage', 'Killjoy', 'Fade', 'Omen']"
Breeze,TeamA,TeamB,"['Reyna', 'Jett', 'Cypher', 'Viper', 'Sova']","['Kayo', 'Sova', 'Jett', 'Viper', 'Cypher']"
Bind,TeamA,TeamB,"['Raze', 'Astra', 'Fade', 'Cypher', 'Skye']","['Omen', 'Sage', 'Raze', 'Brimstone', 'Fade']"
Fracture,TeamB,TeamB,"['Brimstone', 'Cypher', 'Jett', 'Fade', 'Breach']","['Jett', 'Sage', 'Cypher', 'Astra', 'Breach']"
Fracture,TeamA,TeamB,"['Jett', 'Breach', 'Killjoy', 'Brimstone', 'Reyna']","['Reyna', 'Raze', 'Viper', 'Breach', 'Sage']"
Icebox,TeamB,TeamB,"['Jett', 'Reyna', 'Sova', 'Viper', 'Sage']","['Viper', 'Kayo', 'Jett', 'Sova', 'Sage']"
Fracture,TeamA,TeamB,"['Breach', 'Neon', 'Jett', 'Brimstone', 'Killjoy']","['Cypher', 'Breach', 'Jett', 'Brimstone', 'Sage']"
Breeze,TeamA,TeamB,"['Jett', 'Cypher', 'Skye', 'Sage', 'Viper']","['Viper', 'Cypher', 'Jett', 'Sova', 'Reyna']"
Fracture,TeamA,TeamB,"['Neon', 'Jett', 'Brimstone', 'Cypher', 'Fade']","['Raze', 'Breach', 'Brimstone', 'Cypher', 'Jett']"
Ascent,TeamB,TeamB,"['Jett', 'Kayo', 'Omen', 'Killjoy', 'Sage']","['Jett', 'Omen', 'Fade', 'Reyna', 'Cypher']"
Icebox,TeamA,TeamB,"['Jett', 'Viper', 'Reyna', 'Sova', 'Sage']","['Killjoy', 'Viper', 'Sova', 'Jett', 'Yoru']"
Bind,TeamB,TeamB,"['Jett', 'Cypher', 'Brimstone', 'Skye', 'Sage']","['Raze', 'Fade', 'Sage', 'Cypher', 'Omen']"
Bind,TeamA,TeamB,"['Jett', 'Raze', 'Fade', 'Viper', 'Killjoy']","['Brimstone', 'Raze', 'Skye', 'Chamber', 'Sage']"
Fracture,TeamA,TeamB,"['Neon', 'Breach', 'Cypher', 'Sage', 'Brimstone']","['Cypher', 'Raze', 'Kayo', 'Brimstone', 'Breach']"
Haven,TeamB,TeamB,"['Raze', 'Killjoy', 'Fade', 'Breach', 'Omen']","['Reyna', 'Jett', 'Cypher', 'Sova', 'Omen']"
Pearl,TeamB,TeamB,"['Killjoy', 'Phoenix', 'Fade', 'Sova', 'Viper']","['Jett', 'Sage', 'Killjoy', 'Fade', 'Viper']"
Breeze,TeamB,TeamB,"['Cypher', 'Viper', 'Skye', 'Jett', 'Sova']","['Viper', 'Reyna', 'Yoru', 'Sova', 'Kayo']"
Ascent,TeamB,TeamB,"['Jett', 'Kayo', 'Cypher', 'Omen', 'Fade']","['Jett', 'Cypher', 'Sova', 'Reyna', 'Omen']"
Pearl,TeamA,TeamB,"['Jett', 'Raze', 'Fade', 'Cypher', 'Astra']","['Jett', 'Sova', 'Brimstone', 'Sage', 'Cypher']"
Icebox,TeamB,TeamB,"['Jett', 'Kayo', 'Viper', 'Sova', 'Sage']","['Jett', 'Cypher', 'Sage', 'Viper', 'Sova']"
Breeze,TeamA,TeamB,"['Viper', 'Cypher', 'Jett', 'Kayo', 'Sova']","['Reyna', 'Sova', 'Neon', 'Viper', 'Cypher']"
Pearl,TeamB,TeamB,"['Phoenix', 'Cypher', 'Sova', 'Kayo', 'Astra']","['Jett', 'Sage', 'Fade', 'Viper', 'Cypher']"
Fracture,TeamA,TeamB,"['Brimstone', 'Neon', 'Killjoy', 'Breach', 'Kayo']","['Raze', 'Sage', 'Brimstone', 'Breach', 'Cypher']"
Bind,TeamB,TeamB,"['Sova', 'Brimstone', 'Sage', 'Jett', 'Cypher']","['Cypher', 'Phoenix', 'Neon', 'Reyna', 'Raze']"
Ascent,TeamA,TeamB,"['Reyna', 'Sova', 'Cypher', 'Jett', 'Omen']","['Reyna', 'Killjoy', 'Sova', 'Jett', 'Omen']"
Pearl,TeamA,TeamB,"['Astra', 'Fade', 'Killjoy', 'Reyna', 'Phoenix']","['Sage', 'Cypher', 'Jett', 'Astra', 'Fade']"
Breeze,TeamB,TeamB,"['Cypher', 'Viper', 'Jett', 'Reyna', 'Sova']","['Jett', 'Neon', 'Viper', 'Kayo', 'Raze']"
Fracture,TeamB,TeamB,"['Raze', 'Sage', 'Viper', 'Killjoy', 'Breach']","['Brimstone', 'Kayo', 'Breach', 'Neon', 'Killjoy']"
Bind,TeamB,TeamB,"['Fade', 'Cypher', 'Brimstone', 'Jett', 'Raze']","['Brimstone', 'Sage', 'Fade', 'Raze', 'Cypher']"
Icebox,TeamA,TeamB,"['Reyna', 'Jett', 'Viper', 'Sova', 'Sage']","['Sova', 'Viper', 'Jett', 'Sage', 'Reyna']"
Pearl,TeamA,TeamB,"['Fade', 'Killjoy', 'Neon', 'Viper', 'Kayo']","['Yoru', 'Killjoy', 'Fade', 'Astra', 'Viper']"
Haven,TeamA,TeamB,"['Killjoy', 'Phoenix', 'Sova', 'Omen', 'Jett']","['Phoenix', 'Cypher', 'Sova', 'Jett', 'Omen']"
Ascent,TeamB,TeamB,"['Omen', 'Sova', 'Jett', 'Killjoy', 'Breach']","['Sova', 'Killjoy', 'Omen', 'Kayo', 'Jett']"
Breeze,TeamB,TeamB,"['Kayo', 'Viper', 'Sova', 'Jett', 'Cypher']","['Jett', 'Kayo', 'Sova', 'Viper', 'Cypher']"
Breeze,TeamB,TeamB,"['Chamber', 'Jett', 'Viper', 'Skye', 'Sova']","['Viper', 'Jett', 'Kayo', 'Reyna', 'Cypher']"
Haven,TeamB,TeamB,"['Sova', 'Sage', 'Jett', 'Chamber', 'Omen']","['Sova', 'Phoenix', 'Killjoy', 'Sage', 'Astra']"
Pearl,TeamB,TeamB,"['Phoenix', 'Viper', 'Jett', 'Fade', 'Cypher']","['Phoenix', 'Astra', 'Jett', 'Cypher', 'Fade']"
Ascent,TeamA,TeamB,"['Chamber', 'Omen', 'Raze', 'Jett', 'Breach']","['Killjoy', 'Fade', 'Jett', 'Reyna', 'Omen']"
Fracture,TeamA,TeamB,"['Killjoy', 'Breach', 'Raze', 'Astra', 'Jett']","['Raze', 'Brimstone', 'Reyna', 'Breach', 'Sage']"
Haven,TeamB,TeamB,"['Raze', 'Omen', 'Phoenix', 'Cypher', 'Fade']","['Jett', 'Reyna', 'Raze', 'Killjoy', 'Neon']"
Bind,TeamA,TeamB,"['Jett', 'Killjoy', 'Sova', 'Sage', 'Brimstone']","['Jett', 'Astra', 'Raze', 'Fade', 'Sage']"
Icebox,TeamA,TeamB,"['Jett', 'Sage', 'Sova', 'Killjoy', 'Viper']","['Sova', 'Viper', 'Sage', 'Jett', 'Kayo']"
Ascent,TeamA,TeamB,"['Jett', 'Astra', 'Sova', 'Cypher', 'Reyna']","['Jett', 'Sova', 'Killjoy', 'Kayo', 'Astra']"
Icebox,TeamB,TeamB,"['Killjoy', 'Viper', 'Reyna', 'Sova', 'Kayo']","['Sage', 'Sova', 'Reyna', 'Killjoy', 'Viper']"
Haven,TeamA,TeamB,"['Jett', 'Astra', 'Reyna', 'Phoenix', 'Killjoy']","['Jett', 'Sova', 'Killjoy', 'Brimstone', 'Sage']"
Breeze,TeamA,TeamB,"['Reyna', 'Jett', 'Sova', 'Cypher', 'Viper']","['Neon', 'Cypher', 'Jett', 'Sova', 'Viper']"
Ascent,TeamB,TeamB,"['Killjoy', 'Omen', 'Jett', 'Kayo', 'Sova']","['Kayo', 'Jett', 'Omen', 'Cypher', 'Sova']"
Bind,TeamA,TeamB,"['Sova', 'Skye', 'Brimstone', 'Raze', 'Cypher']","['Skye', 'Cypher', 'Fade', 'Omen', 'Raze']"
Fracture,TeamA,TeamB,"['Brimstone', 'Fade', 'Breach', 'Jett', 'Cypher']","['Kayo', 'Cypher', 'Brimstone', 'Breach', 'Raze']"
Fracture,TeamA,TeamB,"['Killjoy', 'Brimstone', 'Fade', 'Raze', 'Breach']","['Cypher', 'Raze', 'Brimstone', 'Breach', 'Jett']"
Haven,TeamB,TeamB,"['Sova', 'Phoenix', 'Omen', 'Cypher', 'Raze']","['Phoenix', 'Sova', 'Killjoy', 'Jett', 'Omen']"
Icebox,TeamB,TeamB,"['Jett', 'Kayo', 'Killjoy', 'Viper', 'Sova']","['Jett', 'Sova', 'Sage', 'Killjoy', 'Viper']"
Ascent,TeamB,TeamB,"['Omen', 'Killjoy', 'Kayo', 'Jett', 'Sova']","['Jett', 'Sova', 'Omen', 'Killjoy', 'Kayo']"
Breeze,TeamA,TeamB,"['Jett', 'Viper', 'Kayo', 'Sova', 'Cypher']","['Kayo', 'Sova', 'Viper', 'Jett', 'Cypher']"
Breeze,TeamB,TeamB,"['Sova', 'Viper', 'Jett', 'Cypher', 'Kayo']","['Viper', 'Sova', 'Neon', 'Cypher', 'Jett']"
Pearl,TeamB,TeamB,"['Chamber', 'Jett', 'Fade', 'Sage', 'Viper']","['Fade', 'Cypher', 'Phoenix', 'Skye', 'Viper']"
Fracture,TeamA,TeamB,"['Kayo', 'Jett', 'Brimstone', 'Killjoy', 'Breach']","['Brimstone', 'Fade', 'Breach', 'Viper', 'Neon']"
Ascent,TeamA,TeamB,"['Sova', 'Cypher', 'Omen', 'Sage', 'Jett']","['Omen', 'Killjoy', 'Reyna', 'Jett', 'Fade']"
Bind,TeamB,TeamB,"['Raze', 'Skye', 'Cypher', 'Brimstone', 'Sova']","['Astra', 'Raze', 'Skye', 'Fade', 'Killjoy']"
Fracture,TeamA,TeamB,"['Kayo', 'Killjoy', 'Jett', 'Fade', 'Brimstone']","['Sage', 'Jett', 'Kayo', 'Brimstone', 'Breach']"
Breeze,TeamA,TeamB,"['Sova', 'Cypher', 'Kayo', 'Viper', 'Reyna']","['Sova', 'Viper', 'Kayo', 'Cypher', 'Jett']"
Haven,TeamB,TeamB,"['Killjoy', 'Jett', 'Fade', 'Kayo', 'Astra']","['Killjoy', 'Jett', 'Omen', 'Sova', 'Sage']"
Icebox,TeamA,TeamB,"['Reyna', 'Sova', 'Viper', 'Jett', 'Sage']","['Jett', 'Reyna', 'Sova', 'Killjoy', 'Sage']"
Pearl,TeamB,TeamB,"['Cypher', 'Phoenix', 'Kayo', 'Fade', 'Astra']","['Jett', 'Astra', 'Kayo', 'Cypher', 'Reyna']"
Ascent,TeamB,TeamB,"['Astra', 'Sova', 'Killjoy', 'Kayo', 'Raze']","['Jett', 'Cypher', 'Kayo', 'Omen', 'Fade']"
Icebox,TeamB,TeamB,"['Killjoy', 'Viper', 'Sage', 'Jett', 'Sova']","['Jett', 'Reyna', 'Viper', 'Sage', 'Killjoy']"
Fracture,TeamA,TeamB,"['Raze', 'Cypher', 'Brimstone', 'Sage', 'Fade']","['Jett', 'Breach', 'Sage', 'Raze', 'Brimstone']"
