Map,WinGame,WinPistol,AgentsTeam1,AgentsTeam2
Breeze,TeamA,TeamB,"['Jett', 'Viper', 'Sova', 'Reyna', 'Cypher']","['Viper', 'Sova', 'Kayo', 'Cypher', 'Reyna']"
Icebox,TeamB,TeamB,"['Sage', 'Sova', 'Viper', 'Jett', 'Kayo']","['Chamber', 'Jett', 'Raze', 'Reyna', 'Yoru']"
Ascent,TeamB,TeamB,"['Jett', 'Omen', 'Chamber', 'Sova', 'Killjoy']","['Omen', 'Sova', 'Reyna', 'Jett', 'Cypher']"
Haven,TeamB,TeamB,"['Reyna', 'Killjoy', 'Sova', 'Jett', 'Astra']","['Breach', 'Kayo', 'Brimstone', 'Killjoy', 'Raze']"
Breeze,TeamA,TeamB,"['Reyna', 'Jett', 'Viper', 'Sova', 'Cypher']","['Sova', 'Viper', 'Jett', 'Kayo', 'Cypher']"
Fracture,TeamB,TeamB,"['Breach', 'Killjoy', 'Brimstone', 'Jett', 'Cypher']","['Brimstone', 'Breach', 'Sage', 'Raze', 'Cypher']"
Fracture,TeamB,TeamB,"['Brimstone', 'Raze', 'Kayo', 'Neon', 'Breach']","['Reyna', 'Raze', 'Breach', 'Cypher', 'Brimstone']"
Ascent,TeamB,TeamA,"['Sova', 'Omen', 'Jett', 'Killjoy', 'Kayo']","['Reyna', 'Killjoy', 'Kayo', 'Astra', 'Jett']"
Pearl,TeamB,TeamB,"['Reyna', 'Neon', 'Astra', 'Killjoy', 'Fade']","['Jett', 'Phoenix', 'Astra', 'Fade', 'Cypher']"
Bind,TeamB,TeamB,"['Reyna', 'Cypher', 'Brimstone', 'Skye', 'Jett']","['Brimstone', 'Jett', 'Raze', 'Sova', 'Skye']"
Ascent,TeamB,TeamB,"['Jett', 'Omen', 'Sova', 'Kayo', 'Cypher']","['Reyna', 'Jett', 'Sova', 'Killjoy', 'Omen']"
Haven,TeamA,TeamB,"['Omen', 'Jett', 'Cypher', 'Sova', 'Skye']","['Astra', 'Killjoy', 'Jett', 'Reyna', 'Sova']"
Breeze,TeamB,TeamB,"['Brimstone', 'Cypher', 'Sova', 'Kayo', 'Jett']","['Jett', 'Sova', 'Reyna', 'Cypher', 'Viper']"
Fracture,TeamA,TeamB,"['Reyna', 'Breach', 'Jett', 'Cypher', 'Brimstone']","['Kayo', 'Killjoy', 'Breach', 'Raze', 'Brimstone']"
Icebox,TeamA,TeamB,"['Kayo', 'Sova', 'Viper', 'Cypher', 'Raze']","['Reyna', 'Viper', 'Jett', 'Cypher', 'Sova']"
Breeze,TeamA,TeamB,"['Jett', 'Reyna', 'Viper', 'Chamber', 'Skye']","['Kayo', 'Sova', 'Viper', 'Jett', 'Cypher']"
Ascent,TeamB,TeamB,"['Jett', 'Omen', 'Reyna', 'Killjoy', 'Sova']","['Reyna', 'Fade', 'Jett', 'Omen', 'Sage']"
Bind,TeamA,TeamB,"['Cypher', 'Brimstone', 'Skye', 'Raze', 'Fade']","['Brimstone', 'Jett', 'Raze', 'Cypher', 'Sova']"
Bind,TeamA,TeamB,"['Raze', 'Sova', 'Skye', 'Astra', 'Cypher']","['Raze', 'Brimstone', 'Fade', 'Viper', 'Sova']"
Fracture,TeamA,TeamB,"['Cypher', 'Brimstone', 'Breach', 'Fade', 'Raze']","['Raze', 'Brimstone', 'Neon', 'Skye', 'Cypher']"
Breeze,TeamA,TeamB,"['Cypher', 'Kayo', 'Jett', 'Viper', 'Sova']","['Viper', 'Sova', 'Cypher', 'Reyna', 'Jett']"
Ascent,TeamB,TeamB,"['Reyna', 'Omen', 'Kayo', 'Killjoy', 'Sova']","['Reyna', 'Sova', 'Omen', 'Jett', 'Fade']"
Pearl,TeamB,TeamB,"['Sage', 'Killjoy', 'Jett', 'Fade', 'Raze']","['Brimstone', 'Jett', 'Killjoy', 'Reyna', 'Fade']"
Haven,TeamA,TeamB,"['Jett', 'Sova', 'Cypher', 'Skye', 'Omen']","['Killjoy', 'Fade', 'Jett', 'Astra', 'Reyna']"
Icebox,TeamB,TeamB,"['Viper', 'Sova', 'Jett', 'Reyna', 'Killjoy']","['Sage', 'Skye', 'Jett', 'Viper', 'Killjoy']"
Bind,TeamB,TeamB,"['Fade', 'Viper', 'Brimstone', 'Raze', 'Sova']","['Brimstone', 'Cypher', 'Raze', 'Jett', 'Skye']"
Pearl,TeamB,TeamB,"['Jett', 'Killjoy', 'Fade', 'Neon', 'Astra']","['Astra', 'Jett', 'Killjoy', 'Fade', 'Reyna']"
Breeze,TeamB,TeamB,"['Jett', 'Viper', 'Raze', 'Sova', 'Cypher']","['Raze', 'Viper', 'Cypher', 'Jett', 'Sova']"
