,Username,Agent,Map,WinPct,Matches
134,NRG s0m,Sage,Split,0.0,0
129,NRG s0m,Neon,Split,0.0,0
128,NRG s0m,Killjoy,Split,0.0,0
4,NRG s0m,Breach,Ascent,0.0,0
141,NRG s0m,Kayo,Pearl,0.0,0
144,NRG s0m,Breach,Pearl,0.0,0
127,NRG s0m,Fade,Split,0.0,0
5,NRG s0m,Brimstone,Ascent,0.0,0
24,NRG s0m,Breach,Bind,0.0,0
115,NRG s0m,Skye,Icebox,0.0,0
7,NRG s0m,Fade,Ascent,0.0,0
58,NRG s0m,Yoru,Breeze,0.0,0
15,NRG s0m,Skye,Ascent,0.0,0
55,NRG s0m,Skye,Breeze,0.0,0
54,NRG s0m,Sage,Breeze,0.0,0
51,NRG s0m,Phoenix,Breeze,0.0,0
48,NRG s0m,Killjoy,Breeze,0.0,0
47,NRG s0m,Fade,Breeze,0.0,0
45,NRG s0m,Brimstone,Breeze,0.0,0
44,NRG s0m,Breach,Breeze,0.0,0
43,NRG s0m,Astra,Breeze,0.0,0
17,NRG s0m,Viper,Ascent,0.0,0
18,NRG s0m,Harbor,Ascent,0.0,0
39,NRG s0m,Harbor,Bind,0.0,0
37,NRG s0m,Viper,Bind,0.0,0
19,NRG s0m,Yoru,Ascent,0.0,0
34,NRG s0m,Sage,Bind,0.0,0
33,NRG s0m,Reyna,Bind,0.0,0
29,NRG s0m,Neon,Bind,0.0,0
21,NRG s0m,Kayo,Bind,0.0,0
59,NRG s0m,Harbor,Breeze,0.0,0
14,NRG s0m,Sage,Ascent,0.0,0
63,NRG s0m,Astra,Fracture,0.0,0
97,NRG s0m,Viper,Haven,0.0,0
111,NRG s0m,Phoenix,Icebox,0.0,0
109,NRG s0m,Neon,Icebox,0.0,0
106,NRG s0m,Cypher,Icebox,0.0,0
105,NRG s0m,Brimstone,Icebox,0.0,0
104,NRG s0m,Breach,Icebox,0.0,0
103,NRG s0m,Astra,Icebox,0.0,0
9,NRG s0m,Neon,Ascent,0.0,0
99,NRG s0m,Harbor,Haven,0.0,0
94,NRG s0m,Sage,Haven,0.0,0
12,NRG s0m,Raze,Ascent,0.0,0
88,NRG s0m,Killjoy,Haven,0.0,0
87,NRG s0m,Fade,Haven,0.0,0
85,NRG s0m,Brimstone,Haven,0.0,0
84,NRG s0m,Breach,Haven,0.0,0
79,NRG s0m,Harbor,Fracture,0.0,0
77,NRG s0m,Viper,Fracture,0.0,0
76,NRG s0m,Sova,Fracture,0.0,0
75,NRG s0m,Skye,Fracture,0.0,0
159,NRG s0m,Harbor,Pearl,0.0,0
