,Username,Agent,Map,WinPct,Matches
97,Kyedae,Viper,Haven,0.0,0
15,Kyedae,Skye,Ascent,0.0,0
54,Kyedae,Sage,Breeze,0.0,0
73,Kyedae,Reyna,Fracture,0.0,0
71,Kyedae,Phoenix,Fracture,0.0,0
70,Kyedae,Omen,Fracture,0.0,0
68,Kyedae,Killjoy,Fracture,0.0,0
27,Kyedae,Fade,Bind,0.0,0
63,Kyedae,Astra,Fracture,0.0,0
60,Kyedae,Jett,Fracture,0.0,0
59,Kyedae,Harbor,Breeze,0.0,0
29,Kyedae,Neon,Bind,0.0,0
30,Kyedae,Omen,Bind,0.0,0
111,Kyedae,Phoenix,Icebox,0.0,0
50,Kyedae,Omen,Breeze,0.0,0
48,Kyedae,Killjoy,Breeze,0.0,0
31,Kyedae,Phoenix,Bind,0.0,0
44,Kyedae,Breach,Breeze,0.0,0
43,Kyedae,Astra,Breeze,0.0,0
41,Kyedae,Kayo,Breeze,0.0,0
39,Kyedae,Harbor,Bind,0.0,0
38,Kyedae,Yoru,Bind,0.0,0
37,Kyedae,Viper,Bind,0.0,0
75,Kyedae,Skye,Fracture,0.0,0
76,Kyedae,Sova,Fracture,0.0,0
23,Kyedae,Astra,Bind,0.0,0
78,Kyedae,Yoru,Fracture,0.0,0
109,Kyedae,Neon,Icebox,0.0,0
107,Kyedae,Fade,Icebox,0.0,0
105,Kyedae,Brimstone,Icebox,0.0,0
104,Kyedae,Breach,Icebox,0.0,0
103,Kyedae,Astra,Icebox,0.0,0
101,Kyedae,Kayo,Icebox,0.0,0
99,Kyedae,Harbor,Haven,0.0,0
98,Kyedae,Yoru,Haven,0.0,0
17,Kyedae,Viper,Ascent,0.0,0
18,Kyedae,Harbor,Ascent,0.0,0
19,Kyedae,Yoru,Ascent,0.0,0
21,Kyedae,Kayo,Bind,0.0,0
89,Kyedae,Neon,Haven,0.0,0
87,Kyedae,Fade,Haven,0.0,0
84,Kyedae,Breach,Haven,0.0,0
83,Kyedae,Astra,Haven,0.0,0
81,Kyedae,Kayo,Haven,0.0,0
1,Kyedae,Kayo,Ascent,0.0,0
79,Kyedae,Harbor,Fracture,0.0,0
159,Kyedae,Harbor,Pearl,0.0,0
